Code	Type	Engels	Nederlands
LK-32, Name for	District	Matara	Matara
LK-33, Name for	District	Hambantota	Hambantoṭa
LK-4, Name for	Province	Northern Province	Mountain Province
LK-41, Name for	District	Jaffna	Jaffna
LK-42, Name for	District	Kilinochchi	Kilinochchi
LK-43, Name for	District	Mannar	Sannat
LK-44, Name for	District	Vavuniya	Vavuniya
LK-45, Name for	District	Mullaittivu	Mullaitivu
LK-5, Name for	Province	Eastern Province	Mountain Province
LK-51, Name for	District	Batticaloa	Battambang
LK-52, Name for	District	Ampara	Ampara
LK-53, Name for	District	Trincomalee	Trincomalee
LK-6, Name for	Province	North Western Province	Noord-West
LK-61, Name for	District	Kurunegala	Kurunegala
LK-62, Name for	District	Puttalam	Puttalam
LK-7, Name for	Province	North Central Province	Midden-Noord
LK-71, Name for	District	Anuradhapura	Anuradhapura
LK-72, Name for	District	Polonnaruwa	Polonnaruwa
LK-8, Name for	Province	Uva Province	Mountain Province
LK-81, Name for	District	Badulla	Badulla
LK-82, Name for	District	Monaragala	Matagalpa
LK-9, Name for	Province	Sabaragamuwa Province	Sabaragamuwa
LK-91, Name for	District	Ratnapura	Ratnapura
LK-92, Name for	District	Kegalla	Kegalle
LR-BG, Name for	County	Bong	Bong
LR-BM, Name for	County	Bomi	Bomi
LR-CM, Name for	County	Grand Cape Mount	Grand Cape Mount
LR-GB, Name for	County	Grand Bassa	Grand Bassa
LR-GG, Name for	County	Grand Gedeh	Grand Gedeh
LR-GK, Name for	County	Grand Kru	Grand Kru
LR-GP, Name for	County	Gbarpolu	Gbarpolu
LR-LO, Name for	County	Lofa	Lofa
LR-MG, Name for	County	Margibi	Margibi
LR-MO, Name for	County	Montserrado	Montserrado
LR-MY, Name for	County	Maryland	Maryland
LR-NI, Name for	County	Nimba	Nimba
LR-RG, Name for	County	River Gee	River Cess
LR-RI, Name for	County	River Cess	River Cess
LR-SI, Name for	County	Sinoe	Sinoe
LS-A, Name for	District	Maseru	Maseru
LS-B, Name for	District	Botha-Bothe	Butha-Buthe
LS-C, Name for	District	Leribe	Leribe
LS-D, Name for	District	Berea	Berea
LS-E, Name for	District	Mafeteng	Mafeteng
LS-F, Name for	District	Mohale's Hoek	Mohale's Hoek
LS-G, Name for	District	Quthing	Quthing
LS-H, Name for	District	Qacha's Nek	Qacha's Nek
LS-J, Name for	District	Mokhotlong	Mokhotlong
LS-K, Name for	District	Thaba-Tseka	Thaba-Tseka
LT-01, Name for	District municipality	Akmenė	Akmenė
LT-02, Name for	City municipality	Alytaus miestas	Alytaus miestas
LT-03, Name for	District municipality	Alytus	Alytus
LT-04, Name for	District municipality	Anykščiai	NOG NIET VERTAALD
LT-05, Name for	Municipality	Birštono	NOG NIET VERTAALD
LT-06, Name for	District municipality	Biržai	NOG NIET VERTAALD
LT-07, Name for	Municipality	Druskininkai	Druskininkai
LT-08, Name for	Municipality	Elektrėnai	Elektrėnai
LT-09, Name for	District municipality	Ignalina	Ignalina
LT-10, Name for	District municipality	Jonava	Jonava
LT-11, Name for	District municipality	Joniškis	NOG NIET VERTAALD
LT-12, Name for	District municipality	Jurbarkas	Jurbarkas
LT-13, Name for	District municipality	Kaišiadorys	NOG NIET VERTAALD
LT-14, Name for	Municipality	Kalvarijos	NOG NIET VERTAALD
LT-15, Name for	City municipality	Kauno miestas	Kauno miestas
LT-16, Name for	District municipality	Kaunas	Kaunas
LT-17, Name for	Municipality	Kazlų Rūdos	NOG NIET VERTAALD
LT-18, Name for	District municipality	Kėdainiai	Kėdainiai
LT-19, Name for	District municipality	Kelmė	Kelmė
LT-20, Name for	City municipality	Klaipėdos miestas	NOG NIET VERTAALD
LT-21, Name for	District municipality	Klaipėda	Klaipėda
LT-22, Name for	District municipality	Kretinga	Kretinga
LT-23, Name for	District municipality	Kupiškis	NOG NIET VERTAALD
LT-24, Name for	District municipality	Lazdijai	Lazdijai
LT-25, Name for	District municipality	Marijampolė	NOG NIET VERTAALD
LT-26, Name for	District municipality	Mažeikiai	NOG NIET VERTAALD
LT-27, Name for	District municipality	Molėtai	Molėtai
LT-28, Name for	Municipality	Neringa	Neringa
LT-29, Name for	Municipality	Pagėgiai	Pagėgiai
LT-30, Name for	District municipality	Pakruojis	Pakruojis
LT-31, Name for	City municipality	Palangos miestas	Palangos miestas
LT-32, Name for	City municipality	Panevėžio miestas	NOG NIET VERTAALD
LT-33, Name for	District municipality	Panevėžys	NOG NIET VERTAALD
LT-34, Name for	District municipality	Pasvalys	Pasvalys
LT-35, Name for	District municipality	Plungė	Plungė
LT-36, Name for	District municipality	Prienai	Prienai
LT-37, Name for	District municipality	Radviliškis	NOG NIET VERTAALD
LT-38, Name for	District municipality	Raseiniai	Raseiniai
LT-39, Name for	Municipality	Rietavo	Rietavo
LT-40, Name for	District municipality	Rokiškis	NOG NIET VERTAALD
LT-41, Name for	District municipality	Šakiai	NOG NIET VERTAALD
LT-42, Name for	District municipality	Šalčininkai	NOG NIET VERTAALD
LT-43, Name for	City municipality	Šiaulių miestas	NOG NIET VERTAALD
LT-44, Name for	District municipality	Šiauliai	NOG NIET VERTAALD
LT-45, Name for	District municipality	Šilalė	NOG NIET VERTAALD
LT-46, Name for	District municipality	Šilutė	NOG NIET VERTAALD
LT-47, Name for	District municipality	Širvintos	NOG NIET VERTAALD
LT-48, Name for	District municipality	Skuodas	Skuodas
LT-49, Name for	District municipality	Švenčionys	NOG NIET VERTAALD
LT-50, Name for	District municipality	Tauragė	Tauragė
LT-51, Name for	District municipality	Telšiai	NOG NIET VERTAALD
LT-52, Name for	District municipality	Trakai	NOG NIET VERTAALD
LT-53, Name for	District municipality	Ukmergė	NOG NIET VERTAALD
LT-54, Name for	District municipality	Utena	Utena
LT-55, Name for	District municipality	Varėna	NOG NIET VERTAALD
LT-56, Name for	District municipality	Vilkaviškis	NOG NIET VERTAALD
LT-57, Name for	City municipality	Vilniaus miestas	Vilniaus miestas
LT-58, Name for	District municipality	Vilnius	Vilnius
LT-59, Name for	Municipality	Visaginas	Visaginas
LT-60, Name for	District municipality	Zarasai	Zarasai
LT-AL, Name for	County	Alytaus apskritis	Alytus (district)
LT-KL, Name for	County	Klaipėdos apskritis	NOG NIET VERTAALD
LT-KU, Name for	County	Kauno apskritis	Kaunas (district)
LT-MR, Name for	County	Marijampolės apskritis	Marijampolė (district)
LT-PN, Name for	County	Panevėžio apskritis	Panevėžys (district)
LT-SA, Name for	County	Šiaulių apskritis	Šiauliai (district)
LT-TA, Name for	County	Tauragės apskritis	NOG NIET VERTAALD
LT-TE, Name for	County	Telšių apskritis	Telšiai (district)
LT-UT, Name for	County	Utenos apskritis	Utena (district)
LT-VL, Name for	County	Vilniaus apskritis	Vilnius (district)
LU-CA, Name for	Canton	Capellen	Capellen
LU-CL, Name for	Canton	Clerf	Clervaux
LU-DI, Name for	Canton	Diekirch	Diekirch
LU-EC, Name for	Canton	Echternach	Echternach
LU-ES, Name for	Canton	Esch an der Alzette	Esch-sur-Alzette
LU-GR, Name for	Canton	Grevenmacher	Grevenmacher
LU-LU, Name for	Canton	Luxembourg	Luxemburg
LU-ME, Name for	Canton	Mersch	Mersch
LU-RD, Name for	Canton	Redange	Redange
LU-RM, Name for	Canton	Remich	Remich
LU-VD, Name for	Canton	Veianen	Vianden
LU-WI, Name for	Canton	Wiltz	Wiltz
LV-001, Name for	Municipality	Aglonas novads	Aglona
LV-002, Name for	Municipality	Aizkraukles novads	Aglona
LV-003, Name for	Municipality	Aizputes novads	Aizpute
LV-004, Name for	Municipality	Aknīstes novads	Aknīste
LV-005, Name for	Municipality	Alojas novads	Aloja
LV-006, Name for	Municipality	Alsungas novads	Alsunga
LV-007, Name for	Municipality	Alūksnes novads	Alūksne
LV-008, Name for	Municipality	Amatas novads	Amata
LV-009, Name for	Municipality	Apes novads	Ape
LV-010, Name for	Municipality	Auces novads	Auce
LV-011, Name for	Municipality	Ādažu novads	Ādaži
LV-012, Name for	Municipality	Babītes novads	Babīte
LV-013, Name for	Municipality	Baldones novads	Baldone
LV-014, Name for	Municipality	Baltinavas novads	Baltinava
LV-015, Name for	Municipality	Balvu novads	Balvi
LV-016, Name for	Municipality	Bauskas novads	Bauska
LV-017, Name for	Municipality	Beverīnas novads	Beverīna
LV-018, Name for	Municipality	Brocēnu novads	Brocēni
LV-019, Name for	Municipality	Burtnieku novads	Burtnieki
LV-020, Name for	Municipality	Carnikavas novads	Carnikava
LV-021, Name for	Municipality	Cesvaines novads	Cesvaine
LV-022, Name for	Municipality	Cēsu novads	Cēsis
LV-023, Name for	Municipality	Ciblas novads	Cibla
LV-024, Name for	Municipality	Dagdas novads	Dagda
LV-025, Name for	Municipality	Daugavpils novads	Daugavpils
LV-026, Name for	Municipality	Dobeles novads	Dobele
LV-027, Name for	Municipality	Dundagas novads	Dundaga
LV-028, Name for	Municipality	Durbes novads	Durbe
LV-029, Name for	Municipality	Engures novads	Engure
LV-030, Name for	Municipality	Ērgļu novads	Ērgļi
LV-031, Name for	Municipality	Garkalnes novads	Garkalne
LV-032, Name for	Municipality	Grobiņas novads	Grobiņa
LV-033, Name for	Municipality	Gulbenes novads	Gulbene
LV-034, Name for	Municipality	Iecavas novads	Iecava
LV-035, Name for	Municipality	Ikšķiles novads	Ikšķile
LV-036, Name for	Municipality	Ilūkstes novads	Ilūkste
LV-037, Name for	Municipality	Inčukalna novads	Inčukalns
LV-038, Name for	Municipality	Jaunjelgavas novads	Jaunjelgava
LV-039, Name for	Municipality	Jaunpiebalgas novads	Jaunpiebalga
LV-040, Name for	Municipality	Jaunpils novads	Jaunpils
LV-041, Name for	Municipality	Jelgavas novads	Jelgava
LV-042, Name for	Municipality	Jēkabpils novads	Jēkabpils
LV-043, Name for	Municipality	Kandavas novads	Kandava
LV-044, Name for	Municipality	Kārsavas novads	Kārsava
LV-045, Name for	Municipality	Kocēnu novads	Kocēnu novads
LV-046, Name for	Municipality	Kokneses novads	Koknese
LV-047, Name for	Municipality	Krāslavas novads	Krāslava
LV-048, Name for	Municipality	Krimuldas novads	Krimulda
LV-049, Name for	Municipality	Krustpils novads	Krustpils
LV-050, Name for	Municipality	Kuldīgas novads	Kuldīga
LV-051, Name for	Municipality	Ķeguma novads	Ķegums
LV-052, Name for	Municipality	Ķekavas novads	Ķekava
LV-053, Name for	Municipality	Lielvārdes novads	Lielvārde
LV-054, Name for	Municipality	Limbažu novads	Limbaži
LV-055, Name for	Municipality	Līgatnes novads	Līgatne
LV-056, Name for	Municipality	Līvānu novads	Līvāni
LV-057, Name for	Municipality	Lubānas novads	Lubāna
LV-058, Name for	Municipality	Ludzas novads	Ludza
LV-059, Name for	Municipality	Madonas novads	Madona
LV-060, Name for	Municipality	Mazsalacas novads	Mazsalaca
LV-061, Name for	Municipality	Mālpils novads	Mālpils
LV-062, Name for	Municipality	Mārupes novads	Mārupe
LV-063, Name for	Municipality	Mērsraga novads	Mērsraga
LV-064, Name for	Municipality	Naukšēnu novads	Naukšēni
LV-065, Name for	Municipality	Neretas novads	Nereta
LV-066, Name for	Municipality	Nīcas novads	Nīca
LV-067, Name for	Municipality	Ogres novads	Ogre
LV-068, Name for	Municipality	Olaines novads	Olaine
LV-069, Name for	Municipality	Ozolnieku novads	Ozolnieki
LV-070, Name for	Municipality	Pārgaujas novads	Pārgauja
LV-071, Name for	Municipality	Pāvilostas novads	Pāvilosta
LV-072, Name for	Municipality	Pļaviņu novads	Pļaviņas
LV-073, Name for	Municipality	Preiļu novads	Preiļi
LV-074, Name for	Municipality	Priekules novads	Priekule
LV-075, Name for	Municipality	Priekuļu novads	Priekuļi
LV-076, Name for	Municipality	Raunas novads	Rauna
LV-077, Name for	Municipality	Rēzeknes novads	Rēzekne
LV-078, Name for	Municipality	Riebiņu novads	Riebiņi
LV-079, Name for	Municipality	Rojas novads	Roja
LV-080, Name for	Municipality	Ropažu novads	Ropaži
LV-081, Name for	Municipality	Rucavas novads	Rucava
LV-082, Name for	Municipality	Rugāju novads	Rugāji
LV-083, Name for	Municipality	Rundāles novads	Rundāle
LV-084, Name for	Municipality	Rūjienas novads	Rūjiena
LV-085, Name for	Municipality	Salas novads	Sala
LV-086, Name for	Municipality	Salacgrīvas novads	Salacgrīva
LV-087, Name for	Municipality	Salaspils novads	Salaspils
LV-088, Name for	Municipality	Saldus novads	Saldus
LV-089, Name for	Municipality	Saulkrastu novads	Saulkrasti
LV-090, Name for	Municipality	Sējas novads	Sēja
LV-091, Name for	Municipality	Siguldas novads	Sigulda
LV-092, Name for	Municipality	Skrīveru novads	Skrīveri
LV-093, Name for	Municipality	Skrundas novads	Skrunda
LV-094, Name for	Municipality	Smiltenes novads	Smiltene
LV-095, Name for	Municipality	Stopiņu novads	Stopiņi
LV-096, Name for	Municipality	Strenču novads	Strenči
LV-097, Name for	Municipality	Talsu novads	Talsi
LV-098, Name for	Municipality	Tērvetes novads	Tērvete
LV-099, Name for	Municipality	Tukuma novads	Tukums
LV-100, Name for	Municipality	Vaiņodes novads	Vaiņode
LV-101, Name for	Municipality	Valkas novads	Valka
LV-102, Name for	Municipality	Varakļānu novads	Varakļāni
LV-103, Name for	Municipality	Vārkavas novads	Vārkava
LV-104, Name for	Municipality	Vecpiebalgas novads	Vecpiebalga
LV-105, Name for	Municipality	Vecumnieku novads	Vecumnieki
LV-106, Name for	Municipality	Ventspils novads	Ventspils
LV-107, Name for	Municipality	Viesītes novads	Viesīte
LV-108, Name for	Municipality	Viļakas novads	Viļaka
LV-109, Name for	Municipality	Viļānu novads	Viļāni
LV-110, Name for	Municipality	Zilupes novads	Zilupe
LV-DGV, Name for	Republican city	Daugavpils	Daugavpils (stad)
LV-JEL, Name for	Republican city	Jelgava	Jelgava (stad)
LV-JKB, Name for	Republican city	Jēkabpils	Jēkabpils (stad)
LV-JUR, Name for	Republican city	Jūrmala	Jūrmala
LV-LPX, Name for	Republican city	Liepāja	Liepāja
LV-REZ, Name for	Republican city	Rēzekne	Rēzekne (stad)
LV-RIX, Name for	Republican city	Rīga	Riga
LV-VEN, Name for	Republican city	Ventspils	Ventspils
LV-VMR, Name for	Republican city	Valmiera	Valmiera
LY-BA, Name for	Popularate	Banghāzī	Benghazi
LY-BU, Name for	Popularate	Al Buţnān	Al Butnan
LY-DR, Name for	Popularate	Darnah	Darnah
LY-GT, Name for	Popularate	Ghāt	Ghat
LY-JA, Name for	Popularate	Al Jabal al Akhḑar	Al Jabal al Akhdar
LY-JG, Name for	Popularate	Al Jabal al Gharbī	Al Jabal al Gharbī
LY-JI, Name for	Popularate	Al Jafārah	Al Jifarah
LY-JU, Name for	Popularate	Al Jufrah	Al Jufrah
LY-KF, Name for	Popularate	Al Kufrah	Al Kufrah
LY-MB, Name for	Popularate	Al Marqab	Al Marqab
LY-MI, Name for	Popularate	Mişrātah	Misratah
LY-MJ, Name for	Popularate	Al Marj	Al Marj
LY-MQ, Name for	Popularate	Murzuq	Murzuq
LY-NL, Name for	Popularate	Nālūt	Nalut
LY-NQ, Name for	Popularate	An Nuqāţ al Khams	An Nuqat al Khams
LY-SB, Name for	Popularate	Sabhā	Sabha
LY-SR, Name for	Popularate	Surt	Surt
LY-TB, Name for	Popularate	Ţarābulus	Tarabulus
LY-WA, Name for	Popularate	Al Wāḩāt	Al Wahat
LY-WD, Name for	Popularate	Wādī al Ḩayāt	Wadi al Hayat
LY-WS, Name for	Popularate	Wādī ash Shāţi’	Wadi Ash Shati'
LY-ZA, Name for	Popularate	Az Zāwiyah	Az Zawiyah
MA-01, Name for	Region	Tanger-Tétouan-Al Hoceïma	Tanger-Tétouan-Al Hoceïma
MA-02, Name for	Region	L'Oriental	Oriental
MA-03, Name for	Region	Fès-Meknès	Fès-Meknès
MA-04, Name for	Region	Rabat-Salé-Kénitra	Rabat-Salé-Kénitra
MA-05, Name for	Region	Béni Mellal-Khénifra	Béni Mellal-Khénifra
MA-06, Name for	Region	Casablanca-Settat	Casablanca-Settat
MA-07, Name for	Region	Marrakech-Safi	Marrakech-Safi
MA-08, Name for	Region	Drâa-Tafilalet	Drâa-Tafilalet
MA-09, Name for	Region	Souss-Massa	Souss-Massa
MA-10, Name for	Region	Guelmim-Oued Noun (EH-partial)	Guelmim-Oued Noun (EH-gedeeltelijk)
MA-11, Name for	Region	Laâyoune-Sakia El Hamra (EH-partial)	Laâyoune-Sakia El Hamra (EH-gedeeltelijk)
MA-12, Name for	Region	Dakhla-Oued Ed-Dahab (EH)	Dakhla-Oued ed Dahab (EH)
MA-AGD, Name for	Prefecture	Agadir-Ida-Ou-Tanane	Agadir-Ida-Ou-Tanane
MA-AOU, Name for	Province	Aousserd (EH)	Aousserd (EH)
MA-ASZ, Name for	Province	Assa-Zag (EH-partial)	Assa-Zag (EH-gedeeltelijk)
MA-AZI, Name for	Province	Azilal	Azilal
MA-BEM, Name for	Province	Béni Mellal	Béni Mellal
MA-BER, Name for	Province	Berkane	Berkane
MA-BES, Name for	Province	Benslimane	Benslimane
MA-BOD, Name for	Province	Boujdour (EH)	Boujdour (EH)
MA-BOM, Name for	Province	Boulemane	Boulemane
MA-BRR, Name for	Province	Berrechid	Errachidia
MA-CAS, Name for	Prefecture	Casablanca	Casablanca
MA-CHE, Name for	Province	Chefchaouen	Chefchaouen
MA-CHI, Name for	Province	Chichaoua	Chichaoua
MA-CHT, Name for	Province	Chtouka-Ait Baha	Chtouka-Ait Baha
MA-DRI, Name for	Province	Driouch	Driouch
MA-ERR, Name for	Province	Errachidia	Errachidia
MA-ESI, Name for	Province	Essaouira	Essaouira
MA-ESM, Name for	Province	Es-Semara (EH-partial)	Es-Smara (EH-gedeeltelijk)
MA-FAH, Name for	Province	Fahs-Anjra	Fahs-Anjra
MA-FES, Name for	Prefecture	Fès	Fès
MA-FIG, Name for	Province	Figuig	Figuig
MA-FQH, Name for	Province	Fquih Ben Salah	Fquih Ben Salah
MA-GUE, Name for	Province	Guelmim	Guelmim
MA-GUF, Name for	Province	Guercif	Guercif
MA-HAJ, Name for	Province	El Hajeb	El Hajeb
MA-HAO, Name for	Province	Al Haouz	Al Haouz
MA-HOC, Name for	Province	Al Hoceïma	Al Hoceïma
MA-IFR, Name for	Province	Ifrane	Ifrane
MA-INE, Name for	Prefecture	Inezgane-Ait Melloul	Inezgane-Ait Melloul
MA-JDI, Name for	Province	El Jadida	El Jadida
MA-JRA, Name for	Province	Jerada	Jerada
MA-KEN, Name for	Province	Kénitra	Kénitra
MA-KES, Name for	Province	El Kelâa des Sraghna	El Kelâa des Sraghna
MA-KHE, Name for	Province	Khémisset	Khemisset
MA-KHN, Name for	Province	Khénifra	Khenifra
MA-KHO, Name for	Province	Khouribga	Khouribga
MA-LAA, Name for	Province	Laâyoune (EH)	Laâyoune (EH)
MA-LAR, Name for	Province	Larache	Larache
MA-MAR, Name for	Prefecture	Marrakech	Marrakech
MA-MDF, Name for	Prefecture	M’diq-Fnideq	M'diq-Fnideq
MA-MED, Name for	Province	Médiouna	Médiouna
MA-MEK, Name for	Prefecture	Meknès	Meknès
MA-MID, Name for	Province	Midelt	Midelt
MA-MOH, Name for	Prefecture	Mohammadia	Mohammedia
MA-MOU, Name for	Province	Moulay Yacoub	Moulay Yacoub
MA-NAD, Name for	Province	Nador	Nador
MA-NOU, Name for	Province	Nouaceur	Nouaceur
MA-OUA, Name for	Province	Ouarzazate	Ouarzazate
MA-OUD, Name for	Province	Oued Ed-Dahab (EH)	Oued ed Dahab (EH)
MA-OUJ, Name for	Prefecture	Oujda-Angad	Oujda-Angad
MA-OUZ, Name for	Province	Ouezzane	Ouezzane
MA-RAB, Name for	Prefecture	Rabat	Rabat
MA-REH, Name for	Province	Rehamna	Rehamna
MA-SAF, Name for	Province	Safi	Safi
MA-SAL, Name for	Prefecture	Salé	Salé
MA-SEF, Name for	Province	Sefrou	Sefrou
MA-SET, Name for	Province	Settat	Settat
MA-SIB, Name for	Province	Sidi Bennour	Sidi Bennour
MA-SIF, Name for	Province	Sidi Ifni	Sidi Ifni
MA-SIK, Name for	Province	Sidi Kacem	Sidi Kacem
MA-SIL, Name for	Province	Sidi Slimane	Sidi Slimane
MA-SKH, Name for	Prefecture	Skhirate-Témara	Skhirate-Témara
MA-TAF, Name for	Province	Tarfaya (EH-partial)	Tarfaya (EH-gedeeltelijk)
MA-TAI, Name for	Province	Taourirt	Taourirt
MA-TAO, Name for	Province	Taounate	Taounate
MA-TAR, Name for	Province	Taroudannt	Taroudant
MA-TAT, Name for	Province	Tata	Tata
MA-TAZ, Name for	Province	Taza	Taza
MA-TET, Name for	Province	Tétouan	Tétouan
MA-TIN, Name for	Province	Tinghir	Tinghir
MA-TIZ, Name for	Province	Tiznit	Tiznit
MA-TNG, Name for	Prefecture	Tanger-Assilah	Tanger-Assilah
MA-TNT, Name for	Province	Tan-Tan (EH-partial)	Tan-Tan (EH-gedeeltelijk)
MA-YUS, Name for	Province	Youssoufia	Youssoufia
MA-ZAG, Name for	Province	Zagora	Zagora
MC-CL, Name for	Quarter	La Colle	La Colle
MC-CO, Name for	Quarter	La Condamine	La Condamine
MC-FO, Name for	Quarter	Fontvieille	Fontvieille
MC-GA, Name for	Quarter	La Gare	La Gare
MC-JE, Name for	Quarter	Jardin Exotique	Jardin Exotique
MC-LA, Name for	Quarter	Larvotto	Larvotto
MC-MA, Name for	Quarter	Malbousquet	Malbousquet
MC-MC, Name for	Quarter	Monte-Carlo	Monte-Carlo
MC-MG, Name for	Quarter	Moneghetti	Moneghetti
MC-MO, Name for	Quarter	Monaco-Ville	Monaco-Stad
MC-MU, Name for	Quarter	Moulins	Moulins
MC-PH, Name for	Quarter	Port-Hercule	Port-Hercule
MC-SD, Name for	Quarter	Sainte-Dévote	Sainte-Dévote
MC-SO, Name for	Quarter	La Source	La Source
MC-SP, Name for	Quarter	Spélugues	Spélugues
MC-SR, Name for	Quarter	Saint-Roman	Saint-Roman
MC-VR, Name for	Quarter	Vallon de la Rousse	Vallon de la Rousse
MD-AN, Name for	District	Anenii Noi	Anenii Noi
MD-BA, Name for	City	Bălți	Bălți
MD-BD, Name for	City	Bender [Tighina]	Bender
MD-BR, Name for	District	Briceni	Briceni
MD-BS, Name for	District	Basarabeasca	Basarabeasca
MD-CA, Name for	District	Cahul	Cahul
MD-CL, Name for	District	Călărași	Călărași
MD-CM, Name for	District	Cimișlia	Cimișlia
MD-CR, Name for	District	Criuleni	Criuleni
MD-CS, Name for	District	Căușeni	Căușeni
MD-CT, Name for	District	Cantemir	Cantemir
MD-CU, Name for	City	Chișinău	Chișinău
MD-DO, Name for	District	Dondușeni	Dondușeni
MD-DR, Name for	District	Drochia	Drochia
MD-DU, Name for	District	Dubăsari	Dubăsari
MD-ED, Name for	District	Edineț	Edineț
MD-FA, Name for	District	Fălești	Fălești
MD-FL, Name for	District	Florești	Florești
MD-GA, Name for	Autonomous territorial unit	Găgăuzia, Unitatea teritorială autonomă (UTAG)	Gagaoezië, Autonome Territoriale Eenheid; UTAG
MD-GL, Name for	District	Glodeni	Glodeni
MD-HI, Name for	District	Hîncești	Hîncești
MD-IA, Name for	District	Ialoveni	Ialoveni
MD-LE, Name for	District	Leova	Leova
MD-NI, Name for	District	Nisporeni	Nisporeni
MD-OC, Name for	District	Ocnița	Ocnița
MD-OR, Name for	District	Orhei	Orhei
MD-RE, Name for	District	Rezina	Rezina
MD-RI, Name for	District	Rîșcani	Rîșcani
MD-SD, Name for	District	Șoldănești	Șoldănești
MD-SI, Name for	District	Sîngerei	Sîngerei
MD-SN, Name for	Territorial unit	Stînga Nistrului, unitatea teritorială din	Transnistrië, Territoriale Eenheid
MD-SO, Name for	District	Soroca	Soroca
MD-ST, Name for	District	Strășeni	Strășeni
MD-SV, Name for	District	Ștefan Vodă	Ștefan Vodă
MD-TA, Name for	District	Taraclia	Taraclia
MD-TE, Name for	District	Telenești	Telenești
MD-UN, Name for	District	Ungheni	Ungheni
ME-01, Name for	Municipality	Andrijevica	Andrijavica
ME-02, Name for	Municipality	Bar	Bar
ME-03, Name for	Municipality	Berane	Berane
ME-04, Name for	Municipality	Bijelo Polje	Bijelo Polje
ME-05, Name for	Municipality	Budva	Budva
ME-06, Name for	Municipality	Cetinje	Cetinje
ME-07, Name for	Municipality	Danilovgrad	Danilovgrad
ME-08, Name for	Municipality	Herceg-Novi	Herceg-Novi
ME-09, Name for	Municipality	Kolašin	Kolašin
ME-10, Name for	Municipality	Kotor	Kotor
ME-11, Name for	Municipality	Mojkovac	Mojkovac
ME-12, Name for	Municipality	Nikšić	Nikšić
ME-13, Name for	Municipality	Plav	Plav
ME-14, Name for	Municipality	Pljevlja	Pljevlja
ME-15, Name for	Municipality	Plužine	Plužine
ME-16, Name for	Municipality	Podgorica	Podgorica
ME-17, Name for	Municipality	Rožaje	Rožaje
ME-18, Name for	Municipality	Šavnik	Šavnik
ME-19, Name for	Municipality	Tivat	Tivat
ME-20, Name for	Municipality	Ulcinj	Ulcinj
ME-21, Name for	Municipality	Žabljak	Žabljak
ME-22, Name for	Municipality	Gusinje	Gusinje
ME-23, Name for	Municipality	Petnjica	Petnjica
ME-24, Name for	Municipality	Tuzi	Tuzi
MG-A, Name for	Province	Toamasina	Toamasina
MG-D, Name for	Province	Antsiranana	Antsiranana
MG-F, Name for	Province	Fianarantsoa	Fianarantsoa
MG-M, Name for	Province	Mahajanga	Mahajanga
MG-T, Name for	Province	Antananarivo	Antananarivo
MG-U, Name for	Province	Toliara	Toliara
MH-ALK, Name for	Municipality	Ailuk	Ailuk
MH-ALL, Name for	Municipality	Ailinglaplap	Ailinglaplap
MH-ARN, Name for	Municipality	Arno	Arno
MH-AUR, Name for	Municipality	Aur	Aur
MH-EBO, Name for	Municipality	Ebon	Ebon
MH-ENI, Name for	Municipality	Enewetak & Ujelang	Eniwetok en Ujelang
MH-JAB, Name for	Municipality	Jabat	Jabat
MH-JAL, Name for	Municipality	Jaluit	Jaluit
MH-KIL, Name for	Municipality	Bikini & Kili	Bikini en Kili
MH-KWA, Name for	Municipality	Kwajalein	Kwajalein
MH-L, Name for	Chain (of islands)	Ralik chain	Ralik-keten
MH-LAE, Name for	Municipality	Lae	Lae
MH-LIB, Name for	Municipality	Lib	Lib
MH-LIK, Name for	Municipality	Likiep	Likiep
MH-MAJ, Name for	Municipality	Majuro	Majuro
MH-MAL, Name for	Municipality	Maloelap	Maloelap
MH-MEJ, Name for	Municipality	Mejit	Mejit
MH-MIL, Name for	Municipality	Mili	Mili
MH-NMK, Name for	Municipality	Namdrik	Namorik
MH-NMU, Name for	Municipality	Namu	Namu
MH-RON, Name for	Municipality	Rongelap	Rongelap
MH-T, Name for	Chain (of islands)	Ratak chain	Ratak-keten
MH-UJA, Name for	Municipality	Ujae	Ujae
MH-UTI, Name for	Municipality	Utrik	Utirik
MH-WTH, Name for	Municipality	Wotho	Wotho
MH-WTJ, Name for	Municipality	Wotje	Wotje
MK-101, Name for	Municipality	Veles	Veles
MK-102, Name for	Municipality	Gradsko	Gradsko
MK-103, Name for	Municipality	Demir Kapija	Demir Kapija
MK-104, Name for	Municipality	Kavadarci	Kavadarci
MK-105, Name for	Municipality	Lozovo	Lozovo
MK-106, Name for	Municipality	Negotino	Negotino
MK-107, Name for	Municipality	Rosoman	Rosoman
MK-108, Name for	Municipality	Sveti Nikole	Sveti Nikole
MK-109, Name for	Municipality	Čaška	Čaška
MK-201, Name for	Municipality	Berovo	Berovo
MK-202, Name for	Municipality	Vinica	Vinica
MK-203, Name for	Municipality	Delčevo	Delčevo
MK-204, Name for	Municipality	Zrnovci	Zrnovci
MK-205, Name for	Municipality	Karbinci	Karbinci
MK-206, Name for	Municipality	Kočani	Kočani
MK-207, Name for	Municipality	Makedonska Kamenica	Makedonska Kamenica
MK-208, Name for	Municipality	Pehčevo	Pehčevo
MK-209, Name for	Municipality	Probištip	Probištip
